diffusion_count,frozen_area,beta,gamma
21,0.01,0.0,0.0
21,0.01,0.1,0.0
37,0.05,0.2,0.0
1576,33.81,0.3,0.0
1115,44.87,0.4,0.0
759,71.11,0.5,0.0
193,92.72,0.6,0.0
161,97.22,0.7,0.0
90,100.0,0.8,0.0
90,100.0,0.9,0.0
90,100.0,0.95,0.0
21,0.01,0.0,0.0001
21,0.01,0.1,0.0001
37,0.05,0.2,0.0001
1779,40.93,0.3,0.0001
1325,49.98,0.4,0.0001
792,73.72,0.5,0.0001
193,92.8,0.6,0.0001
161,97.22,0.7,0.0001
90,100.0,0.8,0.0001
90,100.0,0.9,0.0001
90,100.0,0.95,0.0001
21,0.01,0.0,0.001
21,0.01,0.1,0.001
36,0.05,0.2,0.001
1935,55.98,0.3,0.001
1964,85.17,0.4,0.001
1099,86.55,0.5,0.001
505,97.6,0.6,0.001
161,97.22,0.7,0.001
90,100.0,0.8,0.001
90,100.0,0.9,0.001
90,100.0,0.95,0.001
21,0.01,0.0,0.0035
21,0.01,0.1,0.0035
35,0.05,0.2,0.0035
2441,88.14,0.3,0.0035
1595,94.22,0.4,0.0035
634,97.64,0.5,0.0035
393,98.1,0.6,0.0035
187,98.15,0.7,0.0035
90,100.0,0.8,0.0035
90,100.0,0.9,0.0035
90,100.0,0.95,0.0035
21,0.01,0.0,0.01
21,0.01,0.1,0.01
2628,94.98,0.2,0.01
1687,97.93,0.3,0.01
858,97.83,0.4,0.01
457,98.0,0.5,0.01
236,98.1,0.6,0.01
127,99.91,0.7,0.01
90,100.0,0.8,0.01
90,100.0,0.9,0.01
90,100.0,0.95,0.01
1420,98.11,0.0,0.05
1143,98.11,0.1,0.05
850,98.11,0.2,0.05
585,98.11,0.3,0.05
396,98.11,0.4,0.05
287,98.11,0.5,0.05
184,98.27,0.6,0.05
91,100.0,0.7,0.05
90,100.0,0.8,0.05
90,100.0,0.9,0.05
90,100.0,0.95,0.05
90,98.11,0.0,1.0
90,98.11,0.1,1.0
90,98.11,0.2,1.0
90,98.11,0.3,1.0
90,98.11,0.4,1.0
90,98.11,0.5,1.0
94,98.2,0.6,1.0
91,100.0,0.7,1.0
90,100.0,0.8,1.0
90,100.0,0.9,1.0
90,100.0,0.95,1.0
